,B365H,B365D,B365A,FTR
1473,2.9,3.4,2.6,D
1474,2.75,3.4,2.7,A
1475,2.7,3.4,2.8,D
1478,2.4,3.3,3.25,A
1479,2.4,3.2,3.4,A
1480,1.33,5.75,9.5,D
1482,1.95,3.6,4.2,D
1484,6.0,4.5,1.57,D
1491,1.57,4.5,6.0,D
1494,4.5,4.0,1.8,D
1495,1.22,7.0,15.0,D
1499,2.75,3.3,2.8,D
1502,2.1,3.4,3.9,D
1504,3.1,3.5,2.4,H
1505,2.75,3.6,2.63,D
1506,5.75,4.2,1.65,D
1507,1.95,3.6,4.2,D
1511,3.0,3.5,2.45,H
1512,1.44,4.75,8.0,A
1514,2.5,3.6,2.9,D
1515,2.05,3.6,3.9,A
1516,3.0,3.5,2.45,H
1517,2.0,3.8,3.8,D
1521,2.3,3.75,3.1,D
1523,4.5,4.0,1.8,H
1525,3.5,3.6,2.15,H
1526,6.0,4.75,1.53,D
1527,2.05,3.75,3.7,D
1528,2.4,3.6,3.0,D
