FTR,AF,AR,AS,AST,AY,AwayTeam,B365A,B365D,B365H,BWA,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,,Date,Div,FTAG,FTHG,,GoalFirstHalf,GoalSecondHalf,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,IsTraining,LBA,LBD,LBH,PSA,PSCA,PSCD,PSCH,PSD,PSH,Referee,SHAG,SHHG,VCA,VCD,VCH,WHA,WHD,WHH,away_away_1_team_corners_against,away_away_1_team_corners_for,away_away_1_team_goals_against,away_away_1_team_goals_for,away_away_1_team_possession,away_away_1_team_shotsoff_against,away_away_1_team_shotsoff_for,away_away_1_team_shotson_against,away_away_1_team_shotson_for,away_away_3_team_corners_against,away_away_3_team_corners_for,away_away_3_team_goals_against,away_away_3_team_goals_for,away_away_3_team_possession,away_away_3_team_shotsoff_against,away_away_3_team_shotsoff_for,away_away_3_team_shotson_against,away_away_3_team_shotson_for,away_away_6_team_corners_against,away_away_6_team_corners_for,away_away_6_team_goals_against,away_away_6_team_goals_for,away_away_6_team_possession,away_away_6_team_shotsoff_against,away_away_6_team_shotsoff_for,away_away_6_team_shotson_against,away_away_6_team_shotson_for,away_direct_team_corners_against,away_direct_team_corners_for,away_direct_team_goals_against,away_direct_team_goals_for,away_direct_team_possession,away_direct_team_shotsoff_against,away_direct_team_shotsoff_for,away_direct_team_shotson_against,away_direct_team_shotson_for,away_home_1_team_corners_against,away_home_1_team_corners_for,away_home_1_team_goals_against,away_home_1_team_goals_for,away_home_1_team_possession,away_home_1_team_shotsoff_against,away_home_1_team_shotsoff_for,away_home_1_team_shotson_against,away_home_1_team_shotson_for,away_home_3_team_corners_against,away_home_3_team_corners_for,away_home_3_team_goals_against,away_home_3_team_goals_for,away_home_3_team_possession,away_home_3_team_shotsoff_against,away_home_3_team_shotsoff_for,away_home_3_team_shotson_against,away_home_3_team_shotson_for,away_home_6_team_corners_against,away_home_6_team_corners_for,away_home_6_team_goals_against,away_home_6_team_goals_for,away_home_6_team_possession,away_home_6_team_shotsoff_against,away_home_6_team_shotsoff_for,away_home_6_team_shotson_against,away_home_6_team_shotson_for,home_away_1_team_corners_against,home_away_1_team_corners_for,home_away_1_team_goals_against,home_away_1_team_goals_for,home_away_1_team_possession,home_away_1_team_shotsoff_against,home_away_1_team_shotsoff_for,home_away_1_team_shotson_against,home_away_1_team_shotson_for,home_away_3_team_corners_against,home_away_3_team_corners_for,home_away_3_team_goals_against,home_away_3_team_goals_for,home_away_3_team_possession,home_away_3_team_shotsoff_against,home_away_3_team_shotsoff_for,home_away_3_team_shotson_against,home_away_3_team_shotson_for,home_away_6_team_corners_against,home_away_6_team_corners_for,home_away_6_team_goals_against,home_away_6_team_goals_for,home_away_6_team_possession,home_away_6_team_shotsoff_against,home_away_6_team_shotsoff_for,home_away_6_team_shotson_against,home_away_6_team_shotson_for,home_direct_team_corners_against,home_direct_team_corners_for,home_direct_team_goals_against,home_direct_team_goals_for,home_direct_team_possession,home_direct_team_shotsoff_against,home_direct_team_shotsoff_for,home_direct_team_shotson_against,home_direct_team_shotson_for,home_home_1_team_corners_against,home_home_1_team_corners_for,home_home_1_team_goals_against,home_home_1_team_goals_for,home_home_1_team_possession,home_home_1_team_shotsoff_against,home_home_1_team_shotsoff_for,home_home_1_team_shotson_against,home_home_1_team_shotson_for,home_home_3_team_corners_against,home_home_3_team_corners_for,home_home_3_team_goals_against,home_home_3_team_goals_for,home_home_3_team_possession,home_home_3_team_shotsoff_against,home_home_3_team_shotsoff_for,home_home_3_team_shotson_against,home_home_3_team_shotson_for,home_home_6_team_corners_against,home_home_6_team_corners_for,home_home_6_team_goals_against,home_home_6_team_goals_for,home_home_6_team_possession,home_home_6_team_shotsoff_against,home_home_6_team_shotsoff_for,home_home_6_team_shotson_against,home_home_6_team_shotson_for
H,10,0,18,6,1,Norwich,2.88,3.4,2.6,2.6,3.3,2.6,46,27,0,1.91,1.89,2.8,2.01,1.83,3.33,2.54,1.98,1.97,2.93,2.09,1.87,3.51,2.62,42,,10/18/2015,E0,2,6,,TRUE,TRUE,3,10,0,11,6,2,3,H,1,Newcastle,2.65,3.3,2.5,TRUE,2.8,3.4,2.62,2.93,2.99,3.54,2.48,3.44,2.58,A Taylor,0,3,2.88,3.4,2.6,2.8,3.1,2.62,5,7,2,2,60.5,3,5,7,8,11,19,3,6,147,11,24,13,32,17,25,6,7,198,15,27,22,34,,,,,,,,,,8,16,2,1,67,8,7,7,5,12,29,4,5,165.5,17,26,11,17,16,30,7,7,232,18,34,17,24,3,6,1,6,40.5,1,7,4,11,15,23,1,8,137.75,10,18,15,33,38,40,2,15,284.25,26,37,39,52,,,,,,,,,,6,4,2,2,44,11,3,5,6,20,9,4,4,127,23,11,26,14,31,24,7,9,286.25,37,33,35,27
A,14,0,9,2,2,Stoke,4.2,3.4,2.05,3.75,3.2,2.05,44,25,-0.5,1.67,2.17,3.88,1.85,2.01,3.33,2.03,1.72,2.28,4.2,1.89,2.08,3.5,2.1,40,,10/19/2015,E0,1,0,,TRUE,FALSE,1,6,0,14,2,1,0,A,2,Swansea,3.6,3.3,2,TRUE,4,3.4,2.05,4.06,4.62,3.66,1.88,3.41,2.08,R Madley,0,0,4.1,3.4,2.05,4,3.1,2.05,5,9,1,0,51.75,1,4,7,8,6,31,2,3,136.5,7,25,14,35,17,48,4,7,284,21,35,30,56,7,9,1,4,94.75,6,14,11,11,7,3,1,2,48.75,2,3,8,4,16,12,4,4,163.5,15,14,19,13,38,24,7,12,301.75,27,23,41,34,3,4,2,2,55.75,5,7,8,7,10,8,3,4,175,15,18,24,21,22,25,8,6,298.5,21,29,44,57,7,9,1,4,105.25,6,14,11,11,6,5,3,1,40.25,5,4,14,6,11,7,4,3,125.5,17,14,28,17,24,28,8,9,285.5,28,30,45,38
H,14,1,10,5,0,Everton,8,4.75,1.44,7.25,4.6,1.44,43,23,-1.5,2.47,1.53,7.55,1.76,2.12,4.75,1.42,2.65,1.58,8.2,1.8,2.17,5.2,1.45,35,,10/24/2015,E0,1,2,,TRUE,FALSE,7,11,0,20,5,1,2,H,2,Arsenal,7,4,1.45,TRUE,8,4.5,1.44,8.2,8.8,5.3,1.39,5.07,1.43,L Mason,0,0,8,4.8,1.44,8,4,1.44,4,6,3,2,50.75,4,4,5,3,10,14,3,2,157.25,16,17,18,23,30,35,10,6,304,30,32,35,42,13,11,2,4,107,10,14,9,9,3,5,3,0,45.25,2,7,6,10,28,17,5,4,137,16,16,16,26,43,36,10,7,290.25,28,37,42,37,9,3,3,0,64.75,4,5,11,4,19,14,9,3,169.75,15,17,30,28,39,25,10,8,348.25,27,27,64,41,13,11,2,4,93,10,14,9,9,6,3,0,3,48,3,5,5,4,15,23,0,6,185.25,11,23,18,31,24,40,3,10,380,24,49,34,74
A,8,0,11,4,3,Swansea,2.6,3.3,3,2.6,3.2,2.7,43,24,0,1.59,2.34,2.56,1.8,2.06,3.15,2.94,1.65,2.49,2.65,1.85,2.15,3.3,3.11,37,,10/24/2015,E0,2,1,,FALSE,TRUE,4,10,0,9,3,0,0,D,2,Aston Villa,2.5,3.2,2.75,TRUE,2.62,3.1,2.9,2.59,2.63,3.25,3.01,3.22,3.09,N Swarbrick,2,1,2.63,3.25,3,2.62,2.9,3,3,4,2,2,55.75,5,7,8,7,10,8,3,4,175,15,18,24,21,22,25,8,6,298.5,21,29,44,57,9,8,1,1,103.25,12,9,13,9,2,1,2,0,51,6,9,2,4,12,8,5,1,138.25,18,19,25,18,24,23,10,7,290,31,33,43,37,4,4,1,1,51.25,6,4,4,5,10,19,5,7,142.75,14,18,13,29,20,37,7,17,300,27,35,27,52,9,8,1,1,96.75,12,9,13,9,5,9,1,0,48.25,1,4,7,8,16,16,4,2,166.5,6,20,16,27,29,28,6,3,333,16,40,26,42
H,11,0,9,4,1,Crystal Palace,3.4,3.6,2.2,3.1,3.3,2.25,43,23,-0.25,2.08,1.74,3.31,1.98,1.89,3.41,2.21,2.16,1.79,3.52,2.04,1.92,3.6,2.3,38,,10/24/2015,E0,0,1,,FALSE,TRUE,3,7,0,12,3,0,0,D,3,Leicester,3.2,3.2,2.2,TRUE,3.3,3.4,2.25,3.48,3.58,3.57,2.17,3.56,2.21,M Dean,0,1,3.4,3.6,2.2,3.5,2.9,2.3,4,6,1,0,46,5,7,8,7,16,19,3,2,119.75,15,25,20,35,31,27,10,7,225.5,26,49,35,58,12,14,1,2,76.75,11,13,10,19,9,1,3,2,47.75,11,1,10,3,16,13,4,4,148.75,22,13,25,22,29,32,5,11,286,34,24,48,46,7,6,2,2,46.25,10,6,9,3,19,25,6,5,124,24,18,19,10,36,45,9,7,244.8333333,36,28,29,24,12,14,1,2,123.25,11,13,10,19,5,6,5,2,39,7,6,15,8,17,12,8,6,114,20,23,29,20,34,27,11,17,231.5,37,45,45,34
A,6,0,7,4,2,West Brom,4.2,3.5,2,3.7,3.3,2,43,24,-0.5,1.71,2.11,3.97,1.89,1.97,3.39,2,1.8,2.2,4.31,1.94,2.02,3.5,2.1,38,,10/24/2015,E0,1,0,,FALSE,TRUE,13,11,0,16,3,0,0,D,1,Norwich,3.3,3.3,2.1,TRUE,4,3.4,2,4.18,4.03,3.74,1.98,3.49,2.02,K Friend,1,0,4.33,3.5,1.98,4,3.1,2.05,3,8,0,2,39.75,2,4,4,15,15,16,2,2,125,12,15,19,31,24,32,4,7,230.75,27,39,30,57,,,,,,,,,,5,1,0,1,54,4,4,4,4,14,11,3,3,140.25,10,13,18,9,31,28,9,9,246.5,26,27,39,23,7,3,2,6,53,6,2,11,2,14,16,5,9,158.25,13,14,21,24,24,28,8,13,251,21,29,33,36,,,,,,,,,,8,16,2,1,67,8,7,7,5,12,29,4,5,165.5,17,26,11,17,16,30,7,7,232,18,34,17,24
A,18,0,13,3,1,Watford,4,3.3,2.1,3.5,3.25,2.1,43,23,-0.5,1.61,2.31,3.79,1.81,2.06,3.26,2.09,1.67,2.4,4.1,1.85,2.11,3.4,2.2,37,,10/24/2015,E0,2,0,,TRUE,TRUE,11,10,0,12,1,1,0,A,3,Stoke,3.6,3.3,2,TRUE,4,3.2,2.1,4.03,3.89,3.49,2.1,3.38,2.1,M Atkinson,1,0,4.1,3.3,2.1,3.6,3.1,2.15,3,5,1,2,46.75,5,3,5,8,11,19,3,5,127.5,14,18,14,24,14,27,5,7,160.25,17,23,20,28,,,,,,,,,,9,3,3,0,35.25,4,5,11,4,16,10,4,1,131.75,12,18,23,19,22,17,4,1,248.75,24,31,31,35,2,1,2,0,49,6,9,2,4,8,23,3,2,129.25,8,24,14,29,17,43,6,5,279.5,24,38,28,55,,,,,,,,,,7,3,1,2,48.75,2,3,8,4,16,12,4,4,163.5,15,14,19,13,38,24,7,12,301.75,27,23,41,34
H,12,1,8,4,5,Chelsea,1.95,3.8,4,2,3.7,3.6,43,24,0.5,2.1,1.72,1.97,1.96,1.9,3.61,3.81,2.21,1.79,2.05,2.01,1.94,3.8,4.01,38,,10/24/2015,E0,1,2,,TRUE,TRUE,7,10,0,12,5,0,1,H,1,West Ham,1.9,3.45,3.8,TRUE,2,3.6,3.75,2.01,1.91,3.86,4.21,3.74,3.91,J Moss,1,1,2,3.7,3.9,2,3.2,4,6,4,2,2,56,11,3,5,6,27,19,6,8,174.25,27,15,13,18,38,29,9,15,344.75,41,30,32,32,10,13,1,2,128,8,20,7,23,4,4,1,1,48.75,6,4,4,5,15,13,5,3,162.25,14,14,15,27,33,35,12,8,346,27,35,41,63,9,1,3,2,52.25,11,1,10,3,20,18,7,5,131.25,21,17,21,21,34,30,12,7,264,30,41,31,45,10,13,1,2,72,8,20,7,23,5,7,2,2,39.5,3,5,7,8,16,18,6,7,124,15,14,19,19,31,46,10,10,292.6666667,32,32,36,46
A,15,0,14,9,1,Tottenham,2.25,3.5,3.4,2.25,3.3,3.3,43,22,0.25,1.83,1.97,2.22,1.9,1.97,3.32,3.38,1.91,2.05,2.25,1.93,2.02,3.5,3.59,39,,10/25/2015,E0,5,1,,TRUE,TRUE,4,8,0,11,3,3,1,A,0,Bournemouth,2.2,3.2,3.2,TRUE,2.25,3.3,3.4,2.23,2.2,3.55,3.52,3.42,3.58,R East,2,0,2.25,3.4,3.5,2.25,3,3.5,6,5,3,1,59.75,5,4,14,6,21,13,5,2,183.25,25,16,30,18,36,23,8,4,347.5,34,32,52,38,,,,,,,,,,6,8,0,0,49.5,2,5,8,8,20,19,1,5,162.5,15,16,31,26,33,35,3,9,329.5,34,33,46,50,7,1,1,6,45.5,4,5,2,6,18,8,3,11,142,10,17,12,12,30,19,8,15,241,23,32,21,21,,,,,,,,,,3,5,1,2,53.25,5,3,5,8,10,16,3,5,164.5,12,9,12,19,13,22,4,5,221.5,14,17,16,24
D,11,1,8,3,0,Southampton,3.8,3.6,2.05,3.6,3.5,2.05,43,24,-0.5,1.84,1.95,3.74,1.83,2.04,3.43,2.05,1.91,2.06,4,1.86,2.08,3.62,2.1,39,,10/25/2015,E0,1,1,,FALSE,TRUE,10,8,0,15,2,0,0,D,1,Liverpool,4,3.45,1.85,TRUE,3.75,3.4,2.1,3.87,3.87,3.53,2.09,3.56,2.08,A Marriner,1,1,3.8,3.5,2.1,3.9,3.3,2.1,6,4,3,1,42.5,4,4,7,6,13,13,3,1,154.75,14,15,23,14,31,31,5,7,310,33,30,41,28,7,8,3,2,98.25,6,7,8,17,7,6,2,2,53.75,10,6,9,3,15,15,7,6,138,21,18,18,17,31,36,11,15,287,31,39,30,45,6,8,0,0,50.5,2,5,8,8,21,17,2,4,141.5,12,11,16,21,43,30,4,11,284,28,24,40,41,7,8,3,2,101.75,6,7,8,17,1,11,2,3,65.5,5,2,3,17,10,22,6,4,189.25,13,15,10,36,29,41,12,9,372.5833333,34,46,23,58
D,13,0,6,1,2,Man City,2.8,3.5,2.6,2.85,3.3,2.65,43,24,0,1.97,1.82,2.8,2,1.85,3.35,2.57,2.05,1.91,2.96,2.09,1.89,3.55,2.7,39,,10/25/2015,E0,0,0,,FALSE,FALSE,6,17,0,6,1,0,0,D,2,Man United,2.6,3.2,2.6,TRUE,2.75,3.3,2.5,2.93,2.95,3.32,2.63,3.41,2.59,M Clattenburg,0,0,2.8,3.5,2.63,2.88,3.2,2.7,9,5,1,4,47.75,8,3,15,7,20,17,4,5,160.75,22,18,36,15,40,42,12,7,326.75,36,33,67,37,9,8,2,5,95.25,9,5,7,14,7,1,1,6,54.5,4,5,2,6,13,23,4,13,181,7,22,8,31,21,45,4,20,350,19,45,27,55,3,5,3,0,54.75,2,7,6,10,14,13,6,5,166.75,11,17,12,21,21,24,8,9,345.75,24,29,24,34,9,8,2,5,104.75,9,5,7,14,2,5,0,3,65.75,1,4,7,8,11,20,1,6,190.75,8,11,13,27,21,35,3,9,379,15,28,26,55
H,10,1,21,8,2,Newcastle,2.9,3.4,2.6,2.65,3.3,2.55,43,24,0,1.85,1.95,2.86,2.05,1.81,3.31,2.53,1.91,2.04,3,2.11,1.87,3.45,2.63,39,,10/25/2015,E0,0,3,,TRUE,TRUE,1,12,0,9,3,0,1,H,0,Sunderland,2.9,3.3,2.3,TRUE,2.88,3.3,2.62,2.96,2.91,3.38,2.63,3.41,2.57,R Madley,0,2,2.9,3.3,2.63,3,3.1,2.62,3,6,1,6,40.5,1,7,4,11,15,23,1,8,137.75,10,18,15,33,38,40,2,15,284.25,26,37,39,52,5,15,1,1,87.25,16,16,8,19,7,3,2,6,47,6,2,11,2,18,12,6,9,148.25,23,12,21,16,36,20,8,14,270.75,40,26,43,24,5,1,0,1,46,4,4,4,4,10,13,1,6,127,9,12,17,22,20,35,6,15,255,21,39,33,52,5,15,1,1,112.75,16,16,8,19,8,1,2,2,54,8,6,9,4,20,10,4,3,136.75,25,18,29,17,36,25,8,6,285.25,39,28,45,32
A,21,0,16,7,4,Liverpool,3.75,3.5,2.1,3.4,3.3,2.1,46,28,-0.5,1.77,2.04,3.73,1.81,2.06,3.36,2.07,1.92,2.13,4,1.86,2.13,3.56,2.13,40,,10/31/2015,E0,3,1,,TRUE,TRUE,1,9,0,8,2,1,1,D,1,Chelsea,3.4,3.2,2.1,TRUE,3.75,3.4,2.1,3.92,3.84,3.47,2.12,3.54,2.07,M Clattenburg,2,0,3.9,3.4,2.1,3.75,3.2,2.1,6,8,0,0,50.5,2,5,8,8,21,17,2,4,141.5,12,11,16,21,43,30,4,11,284,28,24,40,41,11,11,3,2,104.25,16,7,14,11,7,10,1,1,62,4,9,4,6,10,27,4,5,182.75,13,18,10,37,30,42,12,7,370.25,31,45,24,54,4,7,2,2,58.25,5,3,5,6,24,18,5,7,171.5,24,12,15,18,36,34,8,16,345.25,40,28,32,36,11,11,3,2,95.75,16,7,14,11,4,4,1,1,48.75,6,4,4,5,15,13,5,3,162.25,14,14,15,27,33,35,12,8,346,27,35,41,63
D,15,0,5,1,3,Man United,2.1,3.5,3.8,2.1,3.4,3.4,47,28,0.5,1.7,2.15,2.06,2.04,1.82,3.35,3.77,1.8,2.28,2.1,2.1,1.88,3.5,4.07,40,,10/31/2015,E0,0,0,,FALSE,FALSE,7,12,0,10,5,0,0,D,3,Crystal Palace,2.1,3.2,3.4,TRUE,2.05,3.4,3.8,2.08,1.94,3.56,4.46,3.46,4.02,M Jones,0,0,2.1,3.4,4,2.1,3,4,3,5,3,0,54.75,2,7,6,10,14,13,6,5,166.75,11,17,12,21,21,24,8,9,345.75,24,29,24,34,10,18,2,2,139.25,9,14,9,14,4,6,0,0,59.25,4,3,3,1,10,15,1,6,185,9,10,13,12,22,32,2,8,359.75,16,24,26,41,2,3,0,1,50.5,3,6,5,5,11,15,1,2,135.75,13,21,21,23,27,27,10,6,239,26,47,36,55,10,18,2,2,60.75,9,14,9,14,9,1,3,2,47.75,11,1,10,3,16,13,4,4,148.75,22,13,25,22,29,32,5,11,286,34,24,48,46
H,13,1,5,3,2,Norwich,12,6,1.29,9,5.75,1.28,46,28,-1.5,2.68,1.45,10.45,2.03,1.83,5.81,1.28,2.83,1.52,12.56,2.1,1.89,6.36,1.31,38,,10/31/2015,E0,1,2,,FALSE,TRUE,12,4,0,21,5,0,0,D,2,Man City,12,5.5,1.22,TRUE,11,6,1.29,11.03,12.5,6.59,1.27,6.22,1.3,R Madley,1,2,11.5,6.25,1.29,12,5,1.29,7,3,2,6,53,6,2,11,2,14,16,5,9,158.25,13,14,21,24,24,28,8,13,251,21,29,33,36,,,,,,,,,,3,13,1,0,65.25,2,9,3,5,15,33,4,4,187,14,25,12,12,19,43,8,7,297.25,20,43,20,29,4,6,0,0,40.75,4,3,3,1,17,15,2,4,147.75,21,14,29,12,37,40,11,7,321.75,35,29,61,28,,,,,,,,,,7,1,1,6,54.5,4,5,2,6,13,23,4,13,181,7,22,8,31,21,45,4,20,350,19,45,27,55
D,16,0,9,2,3,Stoke,3.2,3.4,2.4,3,3.3,2.4,46,27,-0.25,1.77,2.04,3.12,1.86,2,3.31,2.35,1.85,2.1,3.28,1.91,2.06,3.43,2.5,40,,10/31/2015,E0,0,0,,FALSE,FALSE,11,6,0,15,6,0,0,D,1,Newcastle,2.65,3.3,2.5,TRUE,3.1,3.4,2.4,3.24,3.29,3.39,2.37,3.43,2.39,R East,0,0,3.25,3.4,2.38,3.1,3.1,2.4,2,1,2,0,49,6,9,2,4,8,23,3,2,129.25,8,24,14,29,17,43,6,5,279.5,24,38,28,55,18,7,1,2,98.5,13,8,8,9,5,11,2,0,68.25,5,9,7,2,16,17,5,4,172.25,13,17,18,8,35,29,8,10,323.5,29,29,42,25,10,1,0,3,64.75,6,3,13,4,20,13,1,11,167.5,13,17,25,21,41,31,2,15,293.25,24,31,47,49,18,7,1,2,101.5,13,8,8,9,7,3,2,6,47,6,2,11,2,18,12,6,9,148.25,23,12,21,16,36,20,8,14,270.75,40,26,43,24
A,7,0,15,5,0,Arsenal,1.75,4,5,1.75,3.6,4.5,46,26,0.75,2.05,1.76,1.73,1.94,1.92,3.82,4.8,2.16,1.83,1.77,2,1.99,4,5.3,39,,10/31/2015,E0,3,0,,FALSE,TRUE,4,12,0,8,3,0,0,D,2,Swansea,1.7,3.6,4.7,TRUE,1.73,3.8,4.75,1.76,1.79,4.01,4.73,3.93,5.05,K Friend,3,0,1.73,4,5,1.75,3.5,5,9,3,3,0,64.75,4,5,11,4,19,14,9,3,169.75,15,17,30,28,39,25,10,8,348.25,27,27,64,41,11,12,2,2,116.75,8,8,10,25,5,7,1,2,56.75,4,9,5,9,12,23,1,7,176.25,8,25,15,30,27,42,4,12,366.25,25,48,35,66,6,4,2,1,52,5,4,3,4,12,9,4,4,165.25,13,17,15,19,27,23,9,7,320.25,23,28,43,41,11,12,2,2,83.25,8,8,10,25,2,1,2,0,51,6,9,2,4,12,8,5,1,138.25,18,19,25,18,24,23,10,7,290,31,33,43,37
H,12,1,8,3,0,West Ham,2.9,3.4,2.6,2.7,3.2,2.6,46,28,0,1.79,2.01,2.87,2.06,1.8,3.28,2.52,1.85,2.12,3,2.14,1.84,3.45,2.7,41,,10/31/2015,E0,0,2,,TRUE,TRUE,7,16,0,20,5,0,1,H,3,Watford,2.6,3.2,2.6,TRUE,2.9,3.4,2.5,2.94,3.05,3.42,2.5,3.38,2.6,K Stroud,0,1,3,3.3,2.55,2.8,3.1,2.62,9,1,3,2,52.25,11,1,10,3,20,18,7,5,131.25,21,17,21,21,34,30,12,7,264,30,41,31,45,,,,,,,,,,4,7,2,2,41.75,5,3,5,6,16,20,4,6,119,14,15,20,20,32,40,12,11,275.4166667,33,26,37,38,5,11,2,0,31.75,5,9,7,2,13,21,5,3,121.25,16,19,17,18,19,38,7,7,192,22,32,27,30,,,,,,,,,,9,3,3,0,35.25,4,5,11,4,16,10,4,1,131.75,12,18,23,19,22,17,4,1,248.75,24,31,31,35
A,11,0,13,5,2,Leicester,2.6,3.4,2.9,2.6,3.3,2.6,46,28,0,1.77,2.04,2.58,1.84,2,3.25,2.82,1.84,2.14,2.7,1.92,2.08,3.4,2.9,41,,10/31/2015,E0,3,2,,TRUE,TRUE,6,3,0,14,6,0,1,H,0,West Brom,2.5,3.3,2.65,TRUE,2.6,3.3,2.88,2.7,2.58,3.38,2.97,3.36,2.84,A Taylor,3,1,2.63,3.3,2.9,2.62,3,2.9,7,6,2,2,46.25,10,6,9,3,19,25,6,5,124,24,18,19,10,36,45,9,7,244.8333333,36,28,29,24,9,12,3,3,107.5833333,6,10,10,11,2,3,0,1,49.5,3,6,5,5,12,13,7,6,131.5,13,24,26,20,28,26,11,16,251.75,35,47,45,36,3,13,1,0,34.75,2,9,3,5,13,23,2,2,119.25,7,18,14,29,25,38,4,6,228,26,39,30,57,9,12,3,3,92.41666667,6,10,10,11,5,1,0,1,54,4,4,4,4,14,11,3,3,140.25,10,13,18,9,31,28,9,9,246.5,26,27,39,23
H,5,0,17,9,2,Sunderland,7.5,4.5,1.5,6.5,4,1.5,46,29,-1,2.09,1.73,7.06,2.09,1.78,4.31,1.49,2.17,1.8,8,2.16,1.84,4.61,1.53,40,,1/11/2015,E0,2,6,,TRUE,TRUE,6,6,0,15,8,1,2,H,3,Everton,6.1,4,1.5,TRUE,7,4.2,1.5,7.5,7.5,4.7,1.48,4.61,1.49,A Marriner,1,4,7.5,4.6,1.5,7,3.8,1.53,4,10,2,3,34.25,0,12,2,18,9,21,3,3,126,17,28,13,33,27,43,7,3,287.25,25,44,28,56,4,5,1,1,41.75,8,4,8,5,4,10,3,1,44.25,6,5,5,5,12,18,8,3,136,22,13,18,20,27,28,11,4,248.9166667,48,25,46,38,8,4,0,2,58.75,5,5,5,9,17,16,3,7,155.25,18,15,13,21,32,35,5,11,315,32,28,33,48,4,5,1,1,58.25,8,4,8,5,3,9,1,0,62.25,5,4,4,9,15,16,4,3,181.5,19,12,13,23,25,32,5,8,372.5,34,27,29,45
H,5,0,16,2,2,Bournemouth,6.5,4.33,1.55,5.75,4,1.55,46,28,-1,2.05,1.76,6.29,1.95,1.9,4.17,1.54,2.15,1.83,7,1.99,1.95,4.38,1.58,40,,1/11/2015,E0,0,2,,TRUE,FALSE,4,5,1,11,2,0,2,H,0,Southampton,5.5,4,1.55,TRUE,6,4.2,1.57,6.88,7.22,4.41,1.53,4.37,1.55,C Pawson,0,0,7,4.33,1.53,6,3.8,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,3,1,59,6,3,4,7,12,19,4,3,163,17,12,11,21,29,38,6,5,336.5,34,21,28,33,,,,,,,,,,7,2,0,2,41,3,6,7,5,19,10,2,5,126.5,11,17,19,9,30,36,7,8,286.75,23,36,24,30
H,15,0,13,2,3,Aston Villa,8,4.75,1.44,7.25,4.33,1.42,43,25,-1,2.02,1.77,8.11,2.26,1.67,4.52,1.42,2.12,1.82,9,2.36,1.71,4.84,1.45,38,,2/11/2015,E0,1,3,,TRUE,TRUE,4,6,0,17,6,0,2,H,0,Tottenham,7.3,4.4,1.4,TRUE,7.5,4.5,1.44,9,9.32,5.09,1.4,4.8,1.43,M Dean,1,1,9,4.8,1.4,8,4.2,1.44,7,7,0,5,52.5,5,5,4,3,13,17,0,7,169.75,23,15,14,10,22,30,2,9,339.5833333,33,32,33,33,9,3,2,1,41.5,5,7,12,4,7,7,2,1,50,4,7,5,1,14,21,4,1,170.5,14,27,14,13,32,33,6,4,333.5,31,41,36,33,3,6,3,0,65.5,6,6,6,7,10,21,6,3,182,11,21,14,30,34,32,10,8,354.25,33,35,33,45,9,3,2,1,58.5,5,7,12,4,3,10,1,2,61.25,1,11,4,10,12,21,6,9,171.25,9,20,15,28,36,35,8,11,351.5,24,44,35,50
A,11,0,2,1,2,Newcastle,3.4,3.5,2.25,3.1,3.4,2.25,43,23,-0.25,1.98,1.83,3.3,1.99,1.88,3.44,2.2,2.07,1.9,3.57,2.06,1.91,3.6,2.25,38,,7/11/2015,E0,1,0,,TRUE,FALSE,16,9,0,20,5,1,0,A,2,Bournemouth,3.1,3.3,2.2,TRUE,3.4,3.5,2.2,3.57,3.4,3.62,2.22,3.56,2.18,L Mason,0,0,3.5,3.6,2.2,3.4,3.1,2.25,12,3,1,2,52.75,6,3,17,3,25,19,1,7,149.25,20,17,26,19,36,37,1,16,276,35,33,40,42,,,,,,,,,,3,2,0,2,40,3,10,1,4,11,18,4,5,152.25,10,23,7,10,19,35,10,7,264.5,21,36,22,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,10,0,8,4,1,Watford,4.5,3.8,1.85,4,3.6,1.85,43,24,-0.5,2,1.8,4.3,2.03,1.83,3.67,1.84,2.07,1.87,4.6,2.09,1.88,3.9,1.88,37,,7/11/2015,E0,1,2,,FALSE,TRUE,4,10,0,12,6,0,0,D,0,Leicester,4,3.45,1.85,TRUE,4.33,3.75,1.85,4.43,4.34,3.71,1.93,3.79,1.88,R East,1,2,4.5,3.8,1.85,4.33,3.2,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,0,0,45.5,5,4,4,7,19,18,4,3,145.5833333,11,6,12,22,33,36,11,10,241.5833333,26,27,26,42,,,,,,,,,,6,5,1,5,43.75,8,9,6,3,20,11,4,8,115.25,19,18,16,8,36,34,5,16,256.75,37,46,36,26
